PolyFID,ID_NO,Site,Date,XCOORD,YCOORD
1,(1,2),De Vrijheid,SGC,123654.437763,530874.919539
2,(3,4,5),Flevo,SGC,124282.906851,529710.34619
3,(6),Kolhorn,SGC,122240.697287,534272.15889
4,(7),Poolland,SGC,118252.04525,534760.163713
5,(8),Zeewijk,SGC,124676.453147,530874.23941
6,(9),De Veken,SGC/BB,127568.320947,525119.356398
7,(10),Meester Juffer,SGC,128633.919551,524311.159566
8,(11),Aartswould,SGC,126712.686375,528830.959628
9,(12),Gouwe,SGC,125780.527811,528640.742304
12,(15),Maantjesland,SGC,126543.288575,529252.000716
13,(16),Mienakker,SGC,124602.444511,527567.151872
14,(17),Molenkolk 1,SGC,127282.59891,528807.48878
15,(18),Molenkolk 2,SGC,127698.63389,528875.249555
16,(19),Portelwoid,SGC,125893.934789,528007.115672
17,(20),Rhomneyhut,SGC,125612.6,529625.95
19,(22),Zandwerven 1,SGC/Vl,125512.64078,521225.077409
20,(23),Zandwerven 2,SGC/Vl,125185.716297,521987.883967
21,(25),Westfrisiaweg,SGC/BB/WKD/BVK,137261.448328,522962.68305
24,(28),Land uit Zee,SGC,125287.35,529939.9
27,(31),Keinsmerbrug,SGC,115234.982972,536112.583387
19,(24),Zandwerven 3,SGC/Vl,125512.64078,521225.077409
